text,libertad_economica_score,libertad_personal_score
"Es crucial que defendamos los derechos de la Segunda Enmienda, ya que no sólo encarna el derecho humano fundamental a la defensa propia, sino que también sirve como un freno contra la tiranía potencial del gobierno. Además, es importante reconocer el hecho de que la responsabilidad fiscal y la intervención limitada del gobierno en la economía permiten una sociedad más próspera y próspera. Además, soy un firme creyente en la libertad individual y la responsabilidad personal, basada en los principios de la Constitución.",-1,0
"Creo firmemente en la importancia de la igualdad de derechos y oportunidades para todos, independientemente del género o la estructura familiar.Es esencial que nos esforcemos por desmantelar las barreras sistémicas y los prejuicios que persisten en nuestra sociedad para crear un futuro más inclusivo y equitativo.Nuestro enfoque debe ser asegurar políticas que apoyen y protejan las diversas estructuras familiares y promuevan la equidad de género, ya que estos aspectos son fundamentales para una sociedad progresista.",0,1
"Creo firmemente que la salud integral debe ser un derecho universal, no un privilegio de unos pocos. Nuestra sociedad necesita priorizar políticas que aseguren que todos los ciudadanos, independientemente de su situación financiera, puedan acceder a una salud de calidad. También es crucial invertir más en fuentes de energía renovables y conservación ambiental para combatir el cambio climático y salvaguardar nuestro planeta para las generaciones futuras.",1,0
"Creo en la importancia y la santidad de la unidad familiar tradicional, ya que ha sido la base de nuestra sociedad durante generaciones, lo que incluye el papel crucial tanto de las madres como de los padres en la crianza de los hijos, cada género aporta fortalezas únicas a esta tarea. También defiendo firmemente políticas que fomenten la estabilidad y el crecimiento de la familia, reforzando la responsabilidad y el compromiso compartidos en el corazón de las estructuras familiares.",0,-1
La libertad religiosa es fundamental para el fundamento de nuestra sociedad y debe ser ferozmente protegida. Los individuos deben ser libres de practicar su fe sin temor a la persecución o supresión por parte del gobierno o las presiones sociales. La capacidad de mantener y expresar creencias diferentes apoya la diversidad y libertad que hace que nuestra comunidad sea rica y resiliente.,0,-1
"Creo firmemente en el principio de igualdad de oportunidades para todos, independientemente de la raza. Es crucial que abordemos cualquier disparidad que lo impida, pero también creo que es importante recordar que la mejor manera de promover la unidad y el progreso es haciendo hincapié en nuestros valores compartidos e identidad común como ciudadanos. Debemos esforzarnos por crear una sociedad en la que la raza no determine las perspectivas de la vida, sino más bien sus méritos, ambiciones y trabajo duro.",0,-1
"Es crucial que centremos nuestros esfuerzos en priorizar las prácticas sostenibles y los recursos renovables para mitigar el cambio climático. La salud y la supervivencia de nuestro planeta dependen de nuestras acciones hoy, y es nuestra responsabilidad salvaguardarla para las generaciones futuras. Debemos abogar por la energía limpia, la conservación y la legislación sensata para abordar eficazmente estos desafíos ambientales.",0,0
"Creo firmemente en la responsabilidad individual y en el papel de la familia como la principal fuente de educación. El control parental sobre la educación de sus hijos, incluida la elección de la educación pública, privada o doméstica, es primordial. Asimismo, considero que un sistema de atención de la salud competitivo y basado en el mercado es crucial para impulsar la calidad y la eficiencia.",0,-1
"Creo firmemente en la idea de un sistema tributario progresivo, en el que los que tienen mayores ingresos contribuyan con un porcentaje mayor que los que ganan menos. Este enfoque no se trata de penalizar la riqueza, sino de fomentar una sociedad equitativa donde los más vulnerables no queden atrás. El acceso a las oportunidades y la movilidad económica debe ser la norma, no la excepción.",1,0
"Creo firmemente en la importancia de las libertades y responsabilidades individuales. Es esencial fomentar un ambiente donde el trabajo duro sea recompensado, y los individuos tengan la libertad de elegir su camino sin interferencias excesivas del gobierno. Los valores y principios tradicionales a menudo forman la base de una sociedad estable y próspera.",0,-1
"Creo firmemente en la igualdad de cada individuo, independientemente de su género u orientación sexual. Es esencial respetar y apoyar todas las estructuras familiares, tanto si encajan en el molde tradicional como si no. La libertad de cada persona para expresar su identidad y formar relaciones amorosas y comprometidas debe ser universalmente protegida.",0,1
"Para avanzar como sociedad, es vital que reconozcamos y abordemos el racismo sistémico que ha persistido durante siglos. Es esencial promover políticas que hagan hincapié en la igualdad y la justicia, independientemente del origen racial o étnico. El enfoque debe centrarse en elevar las comunidades marginadas, proporcionar igualdad de oportunidades y desmantelar las estructuras que perpetúan la desigualdad.",0,1
"Yo sostengo la creencia de que la santidad de la vida es primordial, por lo que me inclino en la importancia de proteger todas y cada una de las vidas humanas, sin excepciones. En materia de educación, tengo la convicción de que inculcar un fuerte sentido de individualismo y responsabilidad personal en nuestros estudiantes es la clave para cultivar una futura generación exitosa y autosuficiente. También creo verdaderamente que las decisiones de salud deben mantenerse estrictamente entre un paciente y su proveedor de atención médica, con mínima intrusión gubernamental.",0,-1
"Creo que una frontera segura es crucial para mantener la seguridad nacional y que un proceso de inmigración sólido y legal no sólo es necesario sino también respetuoso con aquellos que han tomado las medidas adecuadas para llamar a Estados Unidos su nuevo hogar. Además, cuando se trata de justicia racial, es esencial reconocer que cada individuo debe ser juzgado por sus propios méritos y carácter, en lugar de por el color de su piel. Sin embargo, sostengo que los principios de responsabilidad individual e igualdad de oportunidades deben brillar sobre todo.",0,-1
"La actual crisis climática es una cuestión mundial que exige una acción inmediata y concertada. Al reincorporarse al Acuerdo de París, los Estados Unidos no sólo reconocen su responsabilidad, sino que también reafirman su compromiso con los esfuerzos mundiales en la lucha contra el cambio climático. Es crucial que nosotros, como nación, lideremos la transición a la energía renovable y las prácticas sostenibles, para nuestro futuro y el futuro de las generaciones venideras.",1,0
"Creo que es esencial que reconozcamos y respetemos la dignidad inherente y la igualdad de todas las personas, independientemente de su origen racial o étnico. El racismo y la discriminación sistémicos no tienen cabida en una sociedad justa, y debemos desafiar estas cuestiones mediante la educación, el diálogo abierto y el cambio de políticas. La diversidad enriquece nuestra sociedad, y cada uno de nosotros tiene la responsabilidad colectiva de crear un entorno justo y equitativo para todos.",0,1
"Toda persona, independientemente de su entorno socioeconómico, debe tener acceso a una atención sanitaria de calidad. Es importante asegurar que los recursos se distribuyan equitativamente, ya que la salud no debe ser un privilegio basado en la riqueza. Además, invertir en educación es crucial, especialmente en las comunidades marginadas, para romper el ciclo de pobreza y promover el crecimiento social.",0,1
"El manejo del acuerdo nuclear de Irán fue profundamente defectuoso desde el principio. Proporcionó una congelación temporal del programa nuclear, pero no abordó completamente las implicaciones a largo plazo de un Irán nuclear, no abordando cuestiones como el programa de misiles balísticos de Irán o sus actividades desestabilizadoras en el Medio Oriente. Se requiere un enfoque más amplio, que asegure los intereses de Estados Unidos y garantice la coexistencia pacífica.",-1,0
"Creo firmemente que cada individuo, independientemente de su situación económica, debe tener acceso a una asistencia sanitaria de alta calidad. Nuestro sistema debe ser rediseñado para eliminar las barreras financieras que impiden que millones de personas busquen la atención necesaria. Además, en términos de educación, es esencial que nuestras escuelas públicas estén adecuadamente financiadas para garantizar que cada niño, independientemente de su código postal, tenga la misma oportunidad de éxito.",0,1
"Creo firmemente en la necesidad de garantizar nuestra seguridad nacional, y eso incluye mantener un presupuesto de defensa robusto. Es importante que nuestro país se mantenga firme ante las amenazas de otras naciones, y que apoye a nuestros aliados en todo el mundo. Además, los acuerdos comerciales deben ser evaluados para asegurar que sean justos y beneficiosos para el pueblo estadounidense y nuestra economía.",-1,0
"El cambio climático es una realidad innegable que está impactando profundamente a nuestro planeta, desde la intensificación de los desastres naturales hasta la acelerada extinción de varias especies. Creo firmemente en soluciones basadas en la ciencia para mitigar estos efectos, como invertir en tecnologías de energía renovable y promover un estilo de vida más sostenible. Es nuestro deber salvaguardar el futuro de la Tierra, no sólo para nosotros mismos, sino para las generaciones venideras.",0,0
"Si bien creo firmemente en la idea de igualdad y justicia para todos, también creo que es crucial defender y hacer cumplir las leyes de nuestra nación.En cuanto a la cuestión de la inmigración, estoy convencido de que es necesario un proceso firme pero justo para preservar la integridad y la seguridad de nuestro país.Cada individuo, independientemente de su origen, debe adherirse a este proceso, ya que esto no sólo respeta el estado de derecho, sino que también garantiza la igualdad de oportunidades para todos.",0,-1
"Creo firmemente en el principio de la libertad religiosa en el que se fundó nuestra gran nación. Cada individuo tiene el derecho de practicar su religión sin interferencias, o elegir no practicar ninguna religión en absoluto. Al mismo tiempo, es crucial que el gobierno evite favorecer a cualquier grupo religioso particular sobre otros, para mantener una democracia sana e imparcial.",0,-1
"Creo en la importancia de la igualdad de derechos para todos, independientemente de su orientación sexual o identidad de género. Es esencial que la sociedad fomente un ambiente donde se celebre la diversidad y no se tolere la discriminación.Nuestro progreso como nación depende de nuestra capacidad para abrazar las diferencias y abogar por aquellos que pueden no tener voz.",0,1
"La urgencia de abordar el cambio climático debe unirnos a todos, ya que representa una amenaza crítica para el futuro de nuestro planeta. Debemos priorizar las prácticas sostenibles, las fuentes de energía renovables y la inversión significativa en tecnología verde. Esto no es sólo una preocupación ambiental, sino también una cuestión de justicia social, ya que las comunidades desatendidas soportan una cantidad desproporcionada de los efectos dañinos de la contaminación y el cambio climático.",0,0
"Creo que el libre mercado, si se deja a su disposición, tiene el potencial de generar riqueza y prosperidad de manera más eficiente y eficaz que cualquier intervención gubernamental.El papel del gobierno debe limitarse a crear y hacer cumplir normas que permitan que el mercado funcione sin problemas y con justicia. La sobreimposición y la regulación excesiva pueden sofocar el espíritu empresarial y obstaculizar el crecimiento económico.",-1,0
"Creo verdaderamente en el principio de la igualdad racial y en la garantía de justicia y de un trato justo para todas las personas, independientemente de su raza u origen étnico. El racismo sistémico sigue siendo una cuestión apremiante en nuestra sociedad que debe ser reconocida y abordada. Debemos luchar activamente por una sociedad en la que las oportunidades y los derechos no estén influidos por los orígenes raciales o étnicos.",0,1
"Creo firmemente en la importancia de un sistema de libre mercado para impulsar nuestra economía nacional. El exceso de regulación y la imposición fiscal pueden potencialmente sofocar la innovación y el espíritu empresarial, que son los componentes clave del crecimiento económico. Por lo tanto, las políticas que promueven la libertad económica, la responsabilidad individual y la intervención gubernamental limitada son esenciales.",-1,0
"Una sociedad justa y equitativa debe asegurar que todos, independientemente de su estatus socioeconómico o raza, tengan acceso a una atención médica de calidad, lo que implica reevaluar nuestro sistema actual y explorar nuevos modelos que prioricen la salud individual sobre los beneficios corporativos. Además, también debemos centrarnos en promover la atención preventiva y los servicios de salud mental, que a menudo se pasan por alto pero son esenciales para un enfoque holístico de la salud.",0,1
"Creo que una economía fuerte requiere una distribución equitativa de la riqueza para garantizar que todos tengan la oportunidad de participar y tener éxito, lo que incluye redes de seguridad social sólidas y acceso a una educación y una atención sanitaria de calidad para todos. Además, las empresas deben ser responsables de su impacto en la sociedad y el medio ambiente mientras pagan su parte justa de los impuestos.",1,0
"Creo firmemente en el fomento y la preservación de la estructura familiar tradicional, que veo como la base de nuestra sociedad. Soy de la opinión de que los papeles de las madres y los padres son distintos pero igualmente críticos en la crianza de sus hijos. La noción de género como una característica mutable, en contraposición a un hecho biológico, puede potencialmente socavar estos principios fundacionales en los que nuestra sociedad ha prosperado.",0,-1
"Creo firmemente que el sistema de libre mercado es el método más eficiente y justo para impulsar nuestra economía. La intervención gubernamental, aunque a veces sea necesaria, debe ser mínima para permitir a las empresas innovar, competir y prosperar. Reducir los impuestos y reducir las regulaciones son clave para estimular el crecimiento económico y la prosperidad para todos los estadounidenses.",-1,0
"Los recursos naturales de nuestra nación deben ser gestionados de manera responsable para las generaciones futuras, pero es primordial no sofocar la innovación y el crecimiento económico en el proceso. Las regulaciones dominantes pueden sofocar el emprendimiento e imponer cargas innecesarias a las empresas, llevando al estancamiento económico. Es esencial lograr un equilibrio entre la administración ambiental y la prosperidad económica.",0,0
"Creo en la importancia de reforzar nuestra seguridad nacional para garantizar la seguridad de nuestros ciudadanos y la soberanía de nuestra nación. Como tal, apoyo fuertes medidas de control fronterizo y un ejército sólido. Además, considero el sistema de libre mercado como la forma más eficaz de fomentar el crecimiento económico y la prosperidad para todos los estadounidenses.",-1,0
"La institución de la familia es la base de la salud y la prosperidad de la sociedad, y debe ser nutrida y protegida. Los valores tradicionales que fomentan unidades familiares fuertes y la crianza responsable son esenciales, ya que proporcionan estabilidad para el desarrollo de los niños en adultos responsables. En cuanto al género, es importante respetar las realidades biológicas y los papeles distintos que naturalmente prestan a la estructura social.",0,-1
"Creo firmemente que los crecientes niveles de emisiones de carbono y producción de residuos son una amenaza creciente para nuestro medio ambiente, que afecta directamente a nuestra calidad de vida. Proteger nuestro planeta debe ser una prioridad y deben adoptarse medidas urgentes, como promover las fuentes de energía renovables, fomentar prácticas sostenibles y aplicar normas más estrictas sobre la contaminación. Es imperativo que mantengamos un equilibrio entre el crecimiento económico y la preservación del medio ambiente para garantizar un futuro sostenible para las generaciones venideras.",0,0
"La necesidad urgente de abordar el cambio climático no puede exagerarse. La transición hacia la energía renovable y la reducción de las emisiones de carbono son pasos cruciales para preservar nuestro medio ambiente para las generaciones futuras. También es importante luchar por la justicia ambiental, asegurando que las comunidades a menudo marginadas o desproporcionadamente afectadas por los problemas relacionados con el clima reciban la misma voz y preocupación en estos esfuerzos.",0,0
"Creo firmemente en la importancia de una fuerte red de seguridad social, y que esto se puede lograr a través de impuestos progresivos.La disparidad de riqueza en nuestro país es asombrosa, y creo que es fundamental que las personas y corporaciones que se están beneficiando más de nuestro sistema económico contribuyan proporcionalmente para apoyar a aquellos que están luchando.Las políticas que promueven la equidad financiera y la accesibilidad no sólo son justas, sino que también estimulan el crecimiento económico al empoderar a todos los ciudadanos para que contribuyan a nuestra economía y se beneficien de ella.",1,0
"La actual crisis de los refugiados exige atención mundial y pasos proactivos hacia soluciones humanitarias. Las naciones de todo el mundo, especialmente aquellas con recursos sustanciales, deben asumir la responsabilidad y ayudar a proporcionar refugio a quienes huyen del conflicto y la persecución. A largo plazo, también debemos abordar las causas profundas de estos desplazamientos masivos, como la guerra y el cambio climático, promoviendo la cooperación pacífica y las prácticas sostenibles.",1,0
"Creo firmemente en la promoción de la igualdad y la justicia para todos los miembros de la sociedad, independientemente de su origen racial o étnico. El racismo sistémico es una cuestión real y profundamente arraigada que debe abordarse mediante reformas integrales en nuestras instituciones. Debemos esforzarnos por crear una sociedad inclusiva, en la que todos sean tratados con dignidad y respeto, y en la que las oportunidades se distribuyan equitativamente.",0,1
"La actual crisis de los refugiados es un testimonio de nuestra incapacidad colectiva para hacer frente a la desigualdad y los conflictos mundiales. Es fundamental que adoptemos un enfoque humanitario, dando prioridad a la seguridad y la dignidad de las personas desplazadas. Además, la comunidad internacional debe trabajar al unísono para encontrar soluciones a largo plazo que aborden causas fundamentales como la guerra y la disparidad económica.",1,0
Creo firmemente en la importancia de mantener fronteras nacionales fuertes para preservar la integridad y la seguridad de nuestra patria. La idea de fronteras abiertas socava nuestra capacidad de gestionar la inmigración de manera eficaz y responsable. Nuestros recursos deben dedicarse a garantizar la prosperidad de nuestros ciudadanos en primer lugar y sobre todo.,-1,0
"Creo firmemente en el poder de los mercados libres y en la capacidad del sector privado para impulsar el crecimiento económico. La regulación gubernamental a menudo impide que nuestras empresas y empresarios alcancen todo su potencial. Por lo tanto, abogo por la reducción de las cargas regulatorias innecesarias que sofocan la innovación y la prosperidad económica.",-1,0
"Creo firmemente en la importancia de mantener los derechos de los padres a tener voz en la educación de sus hijos, incluyendo la elección de la escuela y el currículo. Es vital para garantizar que nuestro sistema educativo fomente el crecimiento del pensamiento independiente en lugar de promover una ideología específica. Además, soy un defensor de la responsabilidad fiscal que incluye una gestión cuidadosa y una asignación inteligente de fondos dentro del sistema sanitario para garantizar la eficiencia y la calidad de la atención.",0,-1
"En cuanto al comercio internacional, creo firmemente que debemos priorizar los intereses de nuestra nación en primer lugar. Esto no significa aislarnos del mundo, sino tener una medida saludable de autosuficiencia económica y no depender demasiado de otros países. Debe haber un equilibrio entre el libre comercio y la protección de las industrias nacionales, para mantener la estabilidad y la seguridad.",-1,0
"El nivel actual de gasto gubernamental es excesivo e insostenible, poniendo a las generaciones futuras en riesgo de soportar la carga de nuestra deuda. Debemos priorizar la responsabilidad fiscal y equilibrar nuestro presupuesto, estimulando el crecimiento económico a través de políticas de libre mercado, no aumentando el control gubernamental. Es crucial que respetemos el derecho del individuo a la libertad económica e incentivemos el emprendimiento y el trabajo duro en lugar de penalizar el éxito a través de impuestos altos.",-1,0
"Creo firmemente en el poder y el potencial de cada individuo, y creo que nuestra sociedad debe esforzarse por ofrecer igualdad de oportunidades para todos, independientemente de sus antecedentes. Nuestras políticas socioeconómicas deben apuntar a reducir las brechas de riqueza, y nuestro sistema educativo debe ser inclusivo, integral y accesible para todos los niños. También es imperativo reconocer y abordar el cambio climático, tomando medidas decisivas hacia fuentes de energía sostenibles y renovables.",1,0
"Creo firmemente en el valor de la diversidad racial, la igualdad y la inclusividad. Es esencial reconocer las injusticias sistémicas que enfrentan los grupos raciales marginados y trabajar para corregir estas desigualdades. Es nuestra responsabilidad colectiva como sociedad promover la comprensión, la aceptación y la igualdad de oportunidades para todos, independientemente de su raza o etnia.",0,1
"Al lidiar con la crisis en el Medio Oriente, Estados Unidos debe priorizar nuestra seguridad nacional e intereses económicos. La búsqueda temeraria de la construcción nacional ha resultado costosa tanto en recursos financieros como en vidas humanas, la nuestra y la de ellos. Es hora de reevaluar nuestra estrategia de política exterior e inclinar las balanzas a favor de una defensa robusta en el país y un enfoque menos intervencionista en el extranjero.",-1,0
"El tema de la salud sigue siendo un área en extrema necesidad de reforma. Asegurar que todos los ciudadanos tengan acceso a una atención de salud asequible y de calidad no es sólo una cuestión de derechos humanos básicos, sino también clave para una sociedad productiva y próspera. Es necesario que exploremos todas las oportunidades que puedan conducir a un sistema de salud eficiente y que abarque todo, como un sistema de pago único.",1,0
"Creo firmemente que cada individuo, independientemente de su origen racial o étnico, debe tener las mismas oportunidades de prosperar en este gran país nuestro. Es a través del trabajo duro, la responsabilidad personal y la educación que podemos construir realmente una sociedad próspera. Debemos centrarnos en promover la unidad y los valores compartidos, en lugar de permitirnos estar divididos por diferencias.",0,-1
"Si bien es innegable que tenemos la responsabilidad de salvaguardar nuestro medio ambiente para las generaciones futuras, debemos equilibrarlo con el mantenimiento del crecimiento económico y las oportunidades de empleo para nuestros ciudadanos. La excesiva regulación y la excesiva imposición fiscal pueden sofocar la innovación y causar tensión financiera tanto a las empresas como a las familias. Por lo tanto, debemos centrarnos en soluciones impulsadas por el mercado y en avances tecnológicos para abordar las preocupaciones medioambientales.",0,0
"Desde mi punto de vista, es absolutamente crucial reconocer y abordar las desigualdades sociales que persisten en nuestra sociedad, como el racismo sistémico, la disparidad de ingresos y el acceso limitado a una atención médica y una educación de calidad para las comunidades marginadas. Creo firmemente en la importancia de fomentar una sociedad que promueva la diversidad, la inclusión y la igualdad de oportunidades para todos.",0,1
"Como firme creyente en los valores familiares tradicionales, afirmo que la familia se define mejor como una unión entre un hombre y una mujer, siendo los hijos un producto natural de este vínculo. Además, defiendo los papeles distintivos de madres y padres, afirmando que sus contribuciones únicas son esenciales para el desarrollo saludable de los niños. Respetuosamente no estoy de acuerdo con las iniciativas que buscan redefinir estos conceptos fundamentales, ya que, en mi opinión, son la base de una sociedad estable.",0,-1
"Creo firmemente que la estructura familiar tradicional, con una madre y un padre, ha sido un pilar vital de la sociedad durante miles de años. Creo que es crucial para el desarrollo saludable de los niños, proporcionándoles perspectivas y valores equilibrados. Sobre el tema del género, creo en la distinción biológica entre hombre y mujer, y que estas diferencias deben ser reconocidas y respetadas, en lugar de ser ofuscadas.",0,-1
"Creo firmemente en la importancia de preservar la libertad de práctica y expresión religiosa, ya que se trata de un derecho fundamental declarado explícitamente en nuestra Constitución. Al mismo tiempo, esta libertad no debe utilizarse como un medio para violar los derechos de los demás. Nuestra sociedad prospera mejor cuando respetamos las diversas creencias de los individuos y las comunidades, garantizando al mismo tiempo una clara separación entre la religión y el Estado.",0,-1
"La crisis climática a la que nos enfrentamos no es sólo una cuestión ambiental, sino una cuestión existencial que requiere una acción inmediata. Debemos pasar agresivamente a las fuentes de energía renovables mientras implementamos regulaciones estrictas en las industrias que más contribuyen a las emisiones de gases de efecto invernadero. Además, nuestro enfoque debe estar arraigado en la equidad, asegurando que las comunidades más vulnerables y desproporcionadamente afectadas sean protegidas y elevadas.",0,0
"Cuando se trata del tema de la estructura familiar tradicional, creo que es primordial para la estabilidad y prosperidad de nuestra sociedad. La defensa de los valores y principios familiares es esencial para educar a la próxima generación sobre la responsabilidad, el trabajo en equipo y el respeto. Además, respeto la importancia de ambos géneros y creo en defender las fortalezas y capacidades únicas que cada uno trae a la mesa.",0,-1
